================================================================================
MODEL: tfidf-web | 2026-04-28 22:26:48
Name: TF-IDF Web
Description: Retrieves top web search document for the question and matches answers to it using TF-IDF.
--------------------------------------------------------------------------------
Competition,Games,Avg Correct / 15,Accuracy %
Entertainment,5,0.00,0.0%
Ancient History and Politics,5,0.20,1.3%
Science and Nature,5,0.00,0.0%
Maths,5,0.20,1.3%
OVERALL,20,0.10,0.7%
================================================================================

